#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                7385.741263109375    All      0.531521793296916          -0.17974127495055114       0.30068954616393007        -0.21826338775993767       
Zeropoint     AB|PS|PS_r                6097.787468551019    All      1.2414249186391209         0.07298668378403761        -0.42905136673245126       -0.3997453655040486        
Zeropoint     AB|PS|PS_z                8488.018882590402    All      0.37412721955809874        -0.11916119496166999       0.14149785580866425        -0.15436586588729048       
Zeropoint     AB|PS|PS_g                4801.664121198435    All      -1.1478729460479928        1.2248911171971244         -0.013375371429425575      0.7722904356219172         
Check         All|All|All               All                  All      0.9992009854461431         0.9989753310689409         -0.000239336189282513      -8.418352935957163e-05     
Lambda        AB|PS|PS_i                7385.741263109375    All      -0.00010570310510070876    7.673739223258927e-06      -0.0007302870323107654     4.34121201869473e-06       
Lambda        AB|PS|PS_r                6097.787468551019    All      -0.00026812108993833625    -2.84857581155182e-05      -0.0007010249695270177     4.6773586644174795e-05     
Lambda        AB|PS|PS_z                8488.018882590402    All      0.00042060860403680337     -0.00013412710705557038    -1.9446484408029683e-05    -0.00018156347865025207    
Lambda        AB|PS|PS_g                4801.664121198435    All      -0.000487384515051004      0.00020676300497813368     -0.0015194434872736811     0.00015830089976307603     
MWEBV         All|All|All               All                  All      -0.6977424238206753        -4.094786740417078         0.07383057168917115        -1.10323437403094          
Redshift      All|All|All               All                  All      6.216514155200016          -0.25356906848923444       11.401379205621865         -1.5987277760648388        
