#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            5645.663539018371     All      1.235055367732413          0.2756121413298729         0.14645605802940942        -0.3059865623623814        
Zeropoint     AB|SDSS|SDSS_z            6712.2233329869105    All      0.00520724715127179        7.88809186857975e-05       -0.023906449533939167      -0.0027373126445393026     
Zeropoint     AB|SDSS|SDSS_g            3562.8242816859456    All      -1.1332172818471218        0.24790721321839015        -0.9689659658955962        0.40663718493088447        
Zeropoint     AB|SDSS|SDSS_r            4655.546253529458     All      0.8891243248516529         0.47506634192071573        0.8530431781662573         -0.09680490798767427       
Check         All|All|All               All                   All      0.9961696578882159         0.9986645773876646         0.006626820766131303       0.0011084019362894715      
Lambda        AB|SDSS|SDSS_i            5645.663539018371     All      -0.00040485839577901586    -3.89182950767526e-05      0.0007328831633374849      0.00015190393943957612     
Lambda        AB|SDSS|SDSS_z            6712.2233329869105    All      -0.0001094428752075421     -2.5317118160790948e-05    -0.00012506321018186922    2.1821530049457678e-05     
Lambda        AB|SDSS|SDSS_g            3562.8242816859456    All      -0.001514945875204194      0.0004440449895465688      -0.0002774697069627203     0.000625725574884974       
Lambda        AB|SDSS|SDSS_r            4655.546253529458     All      -0.000291157583051623      -0.00018309162327457176    -0.0010329994231794732     -1.0897381497894665e-05    
MWEBV         All|All|All               All                   All      -0.6415536765537793        -2.7596585085021275        -0.05470959653017804       -0.6923778653657925        
Redshift      All|All|All               All                   All      8.35446619044273           0.8698180408007516         -2.9278885497053153        -2.5686543586161585        
