#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_g          3077.8616639009288    All      -0.16939005266343904      0.054064875658532685       0.03489844992133895       0.07434397914045446       
Zeropoint     AB|DECam|DECam_i          4969.697826613257     All      0.6296322397955146        0.4259669991823145         0.9632263476687108        -0.02335610129725954      
Zeropoint     AB|DECam|DECam_z          5823.754937383498     All      1.3211095455066195        0.1669236253812656         0.2835819691418884        -0.363301364935803        
Zeropoint     AB|DECam|DECam_r          4090.7068030504706    All      -0.7954733288944013       0.3536820985280187         -1.2726769100982915       0.3175240034980306        
Check         All|All|All               All                   All      0.9858784037442938        1.0006375987501315         0.009029856633646638      0.005210516405422527      
Lambda        AB|DECam|DECam_g          3077.8616639009288    All      -0.0007510498864302452    0.00020433877197860128     -0.0002749929940677365    0.00029892984306891424    
Lambda        AB|DECam|DECam_i          4969.697826613257     All      -0.0001548807195675394    -0.00014790945586760313    -0.001258586998471193     -5.389418732593394e-05    
Lambda        AB|DECam|DECam_z          5823.754937383498     All      -0.0004473122204311257    -2.806815036984656e-05     0.00027078456314119263    0.00014864545772365557    
Lambda        AB|DECam|DECam_r          4090.7068030504706    All      -0.0006986668206177746    0.00011056644240021809     -0.0016885576104065836    0.000188241325860681      
MWEBV         All|All|All               All                   All      -0.39878609758980454      -2.101568997342973         0.2768128234363454        -0.5422995253884004       
Redshift      All|All|All               All                   All      4.905924168469683         0.9339393698420295         11.491183118073039        -0.7810073978669861       
