#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                7390.939032305761    All      0.49207605202450955        -0.28898610084464593      0.030305062117756236      -0.25306526363486087       
Zeropoint     AB|PS|PS_g                4805.043327289125    All      -1.1604103796730787        1.3456860337661247        -0.18911680462590771      0.8078786355718092         
Zeropoint     AB|PS|PS_r                6102.078830885692    All      1.2625076458853057         -0.11928548693500574      0.1804542154800995        -0.44204264016271594       
Zeropoint     AB|PS|PS_z                8493.992387688211    All      0.40584665944942755        0.06183607223384513       -0.018733916302946366     -0.11289157451110296       
Check         All|All|All               All                  All      1.000019977686164          0.9992505182203182        0.0029085566690016523     -0.0001208427368705467     
Lambda        AB|PS|PS_i                7390.939032305761    All      -2.7921114801439872e-05    7.32545175863265e-06      -0.0008560259824295101    -2.6719541704485467e-05    
Lambda        AB|PS|PS_g                4805.043327289125    All      -0.0006925059167449989     0.0005002501153599525     -0.0008978156166460714    0.00034845449271154387     
Lambda        AB|PS|PS_r                6102.078830885692    All      -0.00020516564163257757    8.628621513576677e-05     -0.0008091682933741556    5.8825993672991864e-05     
Lambda        AB|PS|PS_z                8493.992387688211    All      0.000580442238156          0.00010630055484179842    -1.295805935440223e-05    -0.00015502180372825887    
MWEBV         All|All|All               All                  All      -0.6899574276125615        -4.043063077630826        -0.0368095634060491       -1.0938594658647862        
Redshift      All|All|All               All                  All      6.565310849880862          -1.238707307917064        6.558761237951025         -2.249338067817145         
