#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                   dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5209.870489596348    All      3.6058313878057064       -0.03242253613358059       -0.6992514780312487       -1.2163033799444847       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4350.618946058485    All      -2.609368138908301       1.035351929835926          0.7025024984657513        1.2185546941478942        
Check         All|All|All                            All                  All      0.996463248897405        1.0029293937023454         0.0032510204345026494     0.0022513142034095157     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5209.870489596348    All      0.0022305950735934475    -0.00015554414812110775    -0.0017835529407849054    -0.0008568358223459568    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4350.618946058485    All      -0.00111152725325034     0.00018645749828547718     -0.0016055429723353756    0.00035114832714197743    
MWEBV         All|All|All                            All                  All      -0.07683675599812334     -2.3291701859561087        0.004778154031792603      -0.733445870637013        
Redshift      All|All|All                            All                  All      -0.08295294590172478     -0.5094293362041924        2.0413101891880503        -0.04782309263312856      
