#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5209.870489596348    All      3.6333514344218623        0.09647148162912345        0.3678162200538218        -1.1356642119366012       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4350.618946058485    All      -2.637503009640774        0.9056037155763974         -0.36976914512849185      1.1376053264933448        
Check         All|All|All                            All                  All      0.995848424781088         1.0020751972055209         -0.0019529250746700422    0.0019411145567436172     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5209.870489596348    All      0.0016313192284934236     -0.00017606133063279288    -0.002362237712843071     -0.0006941391289204291    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4350.618946058485    All      -0.0007107003801899638    8.183041161487904e-05      -0.001114284004808168     0.00020842797496616413    
MWEBV         All|All|All                            All                  All      -0.07598689929675784      -2.328037320663867         0.009226604038049301      -0.7331551715354713       
Redshift      All|All|All                            All                  All      0.13349964615104748       -0.04602294920488248       1.566791579191018         0.0114422967404689        
