#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|CNIa02|SDSS_r                      6103.53811718408     All      1.2644621846594732        -0.14722782381504373       -0.3535562265633739        -0.47561146954843625      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5413.21121073537     All      0.28220120013547845       0.4356129965012556         -0.06966044835929484       0.046862643303111996      
Zeropoint     AB|CNIa02|SDSS_i                      7401.606756902337    All      0.49815211407813936       -0.09945628838172738       0.4052102781278489         -0.17657804376428388      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4326.925313389672    All      -1.0476484244319488       0.8094870634833384         0.019539805222511086       0.6058020981207725        
Check         All|All|All                           All                  All      0.9971670744411423        0.9984159477878229         0.0015334084276912296      0.0004752281111642942     
Lambda        AB|CNIa02|SDSS_r                      6103.53811718408     All      0.00020860089365700894    -0.00011981279277145058    -0.0005783685611739334     -0.0001327850746935793    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5413.21121073537     All      0.00011817038616764405    -0.00013141853084809476    -0.0014197127065485443     -0.0001446545790921464    
Lambda        AB|CNIa02|SDSS_i                      7401.606756902337    All      0.00010506482438427322    -8.676579037347397e-05     -0.00010766440182752372    -6.729011003521758e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4326.925313389672    All      -0.0008583798331700561    0.0006829873441547189      -0.00027866982570742935    0.0004896382446914844     
MWEBV         All|All|All                           All                  All      -0.8757109895819055       -4.050854376312163         0.0745317446079239         -1.030922650722792        
Redshift      All|All|All                           All                  All      4.283298788979141         0.6872303729221763         9.275745316255138          -0.7574238787394172       
