#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6103.53811718408     All      1.1448076012988877         0.13601235016251767        0.08096576178526771       -0.32498467158690175       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5413.21121073537     All      -0.8367142646319827        1.068808920511355          1.9605504538593888        0.7081819535251056         
Zeropoint     AB|CNIa02|SDSS_i                      7401.606756902337    All      1.2887113897236264         -0.5477300137572527        -1.0941260571322386       -0.6470152030319205        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4326.925313389672    All      -0.49982805444922457       0.33976459987377083        -0.7815324109590738       0.23860674723830697        
Check         All|All|All                           All                  All      1.0969766719413065         0.9968558567903907         0.16585774755334404       -0.02521117385540969       
Lambda        AB|CNIa02|SDSS_r                      6103.53811718408     All      0.0004227928216909699      4.532065624964524e-05      0.00029698045056340795    -0.00010970222922284618    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5413.21121073537     All      -0.0003132817868643031     0.00032499396480779836     0.0007315632126291912     0.0002405537171994465      
Lambda        AB|CNIa02|SDSS_i                      7401.606756902337    All      0.00040328744621392833     -0.00018734706325804226    -4.492375946934294e-05    -0.00019439383209096761    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4326.925313389672    All      -0.00039516887011023554    0.00016344415557848342     -0.0017074762646115205    0.00010576181675470379     
MWEBV         All|All|All                           All                  All      -0.671419184574082         -4.087324132624026         0.1374576355788193        -1.1065385185588423        
Redshift      All|All|All                           All                  All      6.450165523013041          -1.7818998787676676        0.44052338896465315       -2.6617959926685835        
