#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint AB|CNIa02|SDSS_r 6114.3499474621285 All -0.7617953358067173 -0.6026040931222436 -0.6219652995374032 0.024098370243599176
Zeropoint Linear_AB11_off|CNIa02|Bessell12_V 5422.800193346115 All -0.9509219716327995 1.4265664231044441 0.7441633511681465 0.8076347797548142
Zeropoint Linear_AB11_off|CNIa02|Bessell12_B 4334.590045093804 All -0.17564461306253842 0.5814511589970488 -1.3440323799192737 0.1866330084725234
Zeropoint AB|CNIa02|SDSS_i 7414.717990829947 All 0.9518926606216394 0.15878549750201643 -0.7506941053945209 -0.2918411255891441
Check All|All|All All All -0.9364692598804156 1.5641989864812658 -1.9725284336830513 0.7265250328817926
