#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6114.3499474621285    All      1.020902692938021         -1.0482721223577407       -3.6819971702698724       -0.8383089340790666        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5422.800193346115     All      0.16918408013365283       1.0181520579709336        2.4198647523397976        0.3845242504585775         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4334.590045093804     All      -0.9371896990931582       0.7236061702953656        -0.5151367621446716       0.5179876654640729         
Zeropoint     AB|CNIa02|SDSS_i                      7414.717990829947     All      0.7415417917892497        0.31953477063453306       1.8135887157127497        -0.05652943553813353       
Check         All|All|All                           All                   All      0.9944388657677655        1.0130208765430915        0.036319535638003275      0.007673546305450335       
Lambda        AB|CNIa02|SDSS_r                      6114.3499474621285    All      0.0003163476449759422     -0.000327215182499812     -0.0011404730429981605    -0.00026052365940276945    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5422.800193346115     All      1.4080322991507862e-05    -0.0005082609101191119    -0.0029432107185363094    -0.0003014857008306496     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4334.590045093804     All      -0.0009159782287059329    0.0007032442658833401     -0.000522304105397603     0.00050412600395759        
Lambda        AB|CNIa02|SDSS_i                      7414.717990829947     All      0.00017918802506288782    7.700130714512078e-05     0.00043629835995798687    -1.381558390994229e-05     
MWEBV         All|All|All                           All                   All      -0.8262302160083457       -3.966501821274715        0.39963502565563847       -1.0050558979646733        
Redshift      All|All|All                           All                   All      4.008638261767019         0.7042306109823038        7.05097710770889          -0.7617015592927028        
