#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5444.378851718217    All      0.26115959170842284        0.5733433253424458        -2.464209933051764         -0.008277859020869305     
Zeropoint     AB|CNIa02|SDSS_r                      6138.680452732387    All      0.9409228929631153         -0.11544799673366413      0.7686938236951768         -0.309791477475746        
Zeropoint     AB|CNIa02|SDSS_i                      7444.22298100936     All      0.6620075753577428         -0.15199298868253663      0.7744949247116439         -0.23058461216768217      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4351.838447105917    All      -0.868473653633613         0.6928273768032511        0.9166363551913914         0.5494723814651742        
Check         All|All|All                           All                  All      0.9956164063956678         0.9987297167294962        -0.004384829453552008      0.0008184328008767894     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5444.378851718217    All      -0.0002205098616411214     5.6834919338845074e-05    -0.00204631949303697       -9.775210313024226e-07    
Lambda        AB|CNIa02|SDSS_r                      6138.680452732387    All      8.22693790962293e-05       -1.823196543527594e-05    0.0001971545343884678      -2.393849293820363e-05    
Lambda        AB|CNIa02|SDSS_i                      7444.22298100936     All      -0.0001412372319521126     3.2910483859994973e-05    -0.00016067031897367648    4.9555661925965444e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4351.838447105917    All      -5.1065186459819996e-05    5.2665277458172416e-05    9.500930906867091e-05      3.8028253830749296e-05    
MWEBV         All|All|All                           All                  All      -0.8633339009061025        -4.081503544143228        0.13602084256878477        -1.042193741956092        
Redshift      All|All|All                           All                  All      4.925049769030274          -1.1247467658456856       5.852348498926108          -1.7094543291606132       
