#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5444.378851718217    All      0.2736762549327857         0.5146070502726197        -2.583266296750978         -0.03680022388112379      
Zeropoint     AB|CNIa02|SDSS_r                      6138.680452732387    All      1.0395991618569986         -0.12274779160490468      0.8943989452461125         -0.3387017257209075       
Zeropoint     AB|CNIa02|SDSS_i                      7444.22298100936     All      0.6493603461155789         -0.14071987739008307      0.7655283121708781         -0.22319310903526116      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4351.838447105917    All      -0.9662056529103065        0.7473907409377034        0.9194635509149449         0.5992061564571197        
Check         All|All|All                           All                  All      0.9964301099950568         0.9985301222153353        -0.0038754884190425054     0.0005110978198272775     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5444.378851718217    All      -0.000205891211587926      -4.030277569340999e-05    -0.00240203879120842       -5.325435781792754e-05    
Lambda        AB|CNIa02|SDSS_r                      6138.680452732387    All      -0.00020724512225498058    2.4882576344399655e-05    -0.00018345595899432605    6.742483134109367e-05     
Lambda        AB|CNIa02|SDSS_i                      7444.22298100936     All      -0.0001685970315147052     3.714227721535661e-05     -0.00019350108316470275    5.8380996852279325e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4351.838447105917    All      1.052133260135363e-05      -9.059457952614197e-06    -1.3666168703389148e-05    -6.987966015091903e-06    
MWEBV         All|All|All                           All                  All      -0.8717819848850055        -4.076930106603438        0.1312031847736451         -1.0381671939428154       
Redshift      All|All|All                           All                  All      5.391948098063869          -0.4550470733665435       7.337274438360825          -1.5771298284609054       
