#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                7380.838967253024    All      0.6045013884369478         -0.06548617364501297       1.0134558794519284        -0.1730111096407318        
Zeropoint     AB|PS|PS_z                8482.384948457808    All      0.4019833819074968         -0.09397816962968264       0.13484715414862233       -0.1555333848269766        
Zeropoint     AB|PS|PS_g                4798.477010076291    All      -1.033884969403691         1.2562264471063678         0.4442989078936622        0.7657916504532543         
Zeropoint     AB|PS|PS_r                6093.740053785856    All      1.0304605426500053         -0.0972115882290403        -1.5528324349727045       -0.4366156920098717        
Check         All|All|All               All                  All      1.0030603435907588         0.9995505156026319         0.03976950652150846       0.0006314639756741514      
Lambda        AB|PS|PS_i                7380.838967253024    All      -0.00014557983398324348    -3.6027651281703067e-05    -0.0010204329392895185    -9.852485335870893e-06     
Lambda        AB|PS|PS_z                8482.384948457808    All      0.00034889869773837835     -7.614481765663089e-05     0.00020896437102769589    -0.00012912553634013515    
Lambda        AB|PS|PS_g                4798.477010076291    All      -5.9606498330006354e-05    -0.0001232345619761386     -0.001065695854605132     -6.828286505766624e-05     
Lambda        AB|PS|PS_r                6093.740053785856    All      -0.00012377687999176343    1.2917022605428241e-05     0.00019936862107816566    5.342260706348546e-05      
MWEBV         All|All|All               All                  All      -0.6731051514789121        -4.0625601836055125        0.19865318962195297       -1.0951920342502908        
Redshift      All|All|All               All                  All      3.4108766544573728         1.5661586519647663         3.812390849253587         -0.4307558489071223        
