#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                7380.838967253024    All      0.6733898543398356         -0.06050152960241917       1.4053810751367024         -0.17633686535782622       
Zeropoint     AB|PS|PS_z                8482.384948457808    All      0.3759861623842174         -0.08992745237801358       0.08171116673882928        -0.14811699834495484       
Zeropoint     AB|PS|PS_g                4798.477010076291    All      -0.9788941604926948        1.234913183329578          0.7386290011293095         0.7540715039012991         
Zeropoint     AB|PS|PS_r                6093.740053785856    All      0.923508968345281          -0.08743410076261782       -2.158452842637615         -0.4256192535991049        
Check         All|All|All               All                  All      0.9939908245766391         0.9970501005865273         0.06726840036722637        0.003998386599413095       
Lambda        AB|PS|PS_i                7380.838967253024    All      -0.00020075980618555408    -3.059227969519421e-05     -0.0011466306847236713     4.260300548279121e-06      
Lambda        AB|PS|PS_z                8482.384948457808    All      0.0003069393527225172      -7.189723643347677e-05     0.00011099816827661462     -0.000118446201987654      
Lambda        AB|PS|PS_g                4798.477010076291    All      3.946177679476845e-05      -0.0003032625234128011     -0.0013959186852053487     -0.00017393001957026136    
Lambda        AB|PS|PS_r                6093.740053785856    All      -0.0003227323345263287     -3.3680215956230087e-06    -0.00021908487173805943    9.425071189009497e-05      
MWEBV         All|All|All               All                  All      -0.6672355123465992        -4.061691505867504         0.24787760213103027        -1.094624352452428         
Redshift      All|All|All               All                  All      4.06039099800805           2.211578004898218          5.282933443976012          -0.3664661600277258        
