#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7470.474311116497    All      0.14895922810414097       -0.24430555504775242      -0.4517872576763615       -0.14826046822591366       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5463.577925527447    All      2.21408776445869          3.150626623710906         9.578845868943109         0.7325214147548609         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4367.184783176094    All      -1.772026323985219        -0.10364486156877462      -3.3264255625485184       0.3950036352922792         
Zeropoint     AB|CNIa02|SDSS_r                      6160.327913776743    All      0.46200968512703167       -1.8120182741558466       -5.6822430599789975       -0.9942981298045606        
Check         All|All|All                           All                  All      1.0530303537046428        0.9906579329385323        0.11838998873923146       -0.015033547983334117      
Lambda        AB|CNIa02|SDSS_i                      7470.474311116497    All      0.00013345704772380507    9.253908484356742e-05     0.00046353523547388426    7.357121947779969e-06      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5463.577925527447    All      0.0008872493881749591     0.0012374989138788624     0.003926553158097401      0.00028931182682841937     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4367.184783176094    All      -0.001757740043094658     -7.931016430646699e-05    -0.003247344176129453     0.0004018057741558489      
Lambda        AB|CNIa02|SDSS_r                      6160.327913776743    All      7.705044037253895e-05     -0.0005020439725781584    -0.001649952114509823     -0.00026225988685294567    
MWEBV         All|All|All                           All                  All      -0.9316230167097155       -4.11024375582727         -0.007731839334867985     -1.0357263847252218        
Redshift      All|All|All                           All                  All      2.1552347646936347        -10.515486719283373       -26.360862207274447       -5.303635050936029         
