#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint AB|CNIa02|SDSS_i 7470.474311116497 All 0.08029966808560762 -0.1513939648549405 -0.7722298218522536 -0.10993130896882959
Zeropoint Linear_AB11_off|CNIa02|Bessell12_V 5463.577925527447 All 1.2756900950342098 -5.017573109944149 -13.534049768023706 -2.653885349575768
Zeropoint Linear_AB11_off|CNIa02|Bessell12_B 4367.184783176094 All -1.2130925081689834 -0.06564836236585281 -3.7171158172993723 0.20788250124857216
Zeropoint AB|CNIa02|SDSS_r 6160.327913776743 All 1.0482905253978638 -1.254501358960841 -4.57560173821501 -0.9542831669362088
Check All|All|All All All 1.1911877803486988 -6.489116796125783 -22.598997145390342 -3.5102173242322348
