#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|g           3350.164295045986    All      -0.47452188114033333      0.10997656005375944        -0.015328628920648103      0.18970632541757784        
Zeropoint     AB|MEGACAMPSF|z           6015.496088170071    All      0.37446295287356735       0.0013165230809519812      -0.08905967547322272       -0.12552039261643222       
Zeropoint     AB|MEGACAMPSF|r           4271.141109307043    All      -0.7626715776332358       0.5356056470441573         -0.21789589518069777       0.4131679110871783         
Zeropoint     AB|MEGACAMPSF|i           5222.699504400044    All      1.8467180160125314        0.3537965843330326         0.32241483430634055        -0.47190573269691544       
Check         All|All|All               All                  All      0.9839875101125299        1.0006953145119013         0.0001306347317719947      0.005448111191408478       
Lambda        AB|MEGACAMPSF|g           3350.164295045986    All      -0.000640014798216778     0.0001408803795543102      -0.0001106837334878903     0.0002494239434147385      
Lambda        AB|MEGACAMPSF|z           6015.496088170071    All      -3.510000347375301e-05    -4.8762824844096716e-08    8.786612097030036e-06      1.180944837335571e-05      
Lambda        AB|MEGACAMPSF|r           4271.141109307043    All      -0.0005832848875168726    -2.5177613621209464e-05    -0.002414720256657879      7.403602564610217e-05      
Lambda        AB|MEGACAMPSF|i           5222.699504400044    All      0.0005601852365160519     8.991576844712048e-05      -0.00018526604492432607    -0.00016144980984480917    
MWEBV         All|All|All               All                  All      -0.4313198101370652       -2.4113701998270898        0.005609082246360085       -0.6447172460658871        
Redshift      All|All|All               All                  All      3.4458914840377495        -0.017827601909026214      -0.5843173659735066        -1.1543226596368554        
