#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|g           3350.164295045986    All      -0.4093351733021956       0.08150249694711675        -0.19835322147234713      0.1510303840089905         
Zeropoint     AB|MEGACAMPSF|z           6015.496088170071    All      0.5087115696765357        0.010721556907888896       -0.01931882759103054      -0.16307384109075507       
Zeropoint     AB|MEGACAMPSF|r           4271.141109307043    All      -0.7311115792537483       0.5731583741900081         0.12619604630070835       0.430475182992493          
Zeropoint     AB|MEGACAMPSF|i           5222.699504400044    All      1.618104355054564         0.33525542982335566        0.09968016597479146       -0.41341783143083455       
Check         All|All|All               All                  All      0.986369172175156         1.0006378578683695         0.00820416321212214       0.005013894479893866       
Lambda        AB|MEGACAMPSF|g           3350.164295045986    All      -0.0004728576784403954    0.00010251559771273921     -0.0002077522312494571    0.00017814697735242966     
Lambda        AB|MEGACAMPSF|z           6015.496088170071    All      -7.365019315140611e-05    -2.8179054367508168e-06    1.665106467034658e-05     2.38154669623755e-05       
Lambda        AB|MEGACAMPSF|r           4271.141109307043    All      -0.0005017931093991323    -9.179916835150855e-05     -0.0021758497409004227    3.645033437923969e-05      
Lambda        AB|MEGACAMPSF|i           5222.699504400044    All      0.000272985594219948      4.337118007859604e-05      -0.0006391881943063397    -0.00010331700220238453    
MWEBV         All|All|All               All                  All      -0.449102523132235        -2.4167537825787733        -0.08498277383681696      -0.6447211398899616        
Redshift      All|All|All               All                  All      3.326386512598069         0.3346459558782655         -0.15980151266883347      -0.9816395322330403        
