#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           4148.278409957401     All      -1.0932356273594073        0.4840258748386006         -0.22787550378889307       0.5035969244882507        
Zeropoint     AB|MEGACAMPSF|g           3251.0636670422464    All      -0.3162904964964557        0.08360694728271056        0.09188070507389476        0.1343599675486286        
Zeropoint     AB|MEGACAMPSF|z           5844.283414738355     All      0.8098193165203791         0.017289024784084006       0.297581578308871          -0.24487349039347875      
Zeropoint     AB|MEGACAMPSF|i           5072.165844705334     All      1.587939455811127          0.41589596145357177        -0.15450406916102402       -0.3886679321930344       
Check         All|All|All               All                   All      0.9882326484756434         1.000817808358967          0.007082710432848666       0.004415469450366083      
Lambda        AB|MEGACAMPSF|r           4148.278409957401     All      -0.0006488410627737229     0.0002284420255208232      -0.0005476073276333761     0.0002613227636510663     
Lambda        AB|MEGACAMPSF|g           3251.0636670422464    All      -0.0006173507648992863     0.00016779412129205938     0.00021145637724919367     0.00026518384686465316    
Lambda        AB|MEGACAMPSF|z           5844.283414738355     All      -0.00012117674781487442    -2.1587220963007686e-06    -3.9838766476289366e-05    3.699026537828078e-05     
Lambda        AB|MEGACAMPSF|i           5072.165844705334     All      0.0001616908656528389      3.01194031236188e-06       -0.0014314987254717894     -0.0001155681598469421    
MWEBV         All|All|All               All                   All      -0.3303414891202634        -2.3089651123896715        0.04825160626056816        -0.642349561306746        
Redshift      All|All|All               All                   All      5.987528710873841          0.18827383493089656        1.4547544609854484         -1.8240890927648006       
