#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           4148.278409957401     All      -1.2660441306626777        0.5803994677179958        0.2605646819432872         0.6130752312074605        
Zeropoint     AB|MEGACAMPSF|g           3251.0636670422464    All      -0.31951643836792115       0.07747367118930981       0.07396197795017656        0.13261332265029485       
Zeropoint     AB|MEGACAMPSF|z           5844.283414738355     All      0.8760014184103133         0.018365414735654895      0.4542769880726327         -0.2590879662243348       
Zeropoint     AB|MEGACAMPSF|i           5072.165844705334     All      1.6977666246090455         0.3236862683053232        -0.7924711133499018        -0.4829475240497261       
Check         All|All|All               All                   All      0.9882074739887602         0.9999248219482837        -0.0036674653838053572     0.0036530635836944936     
Lambda        AB|MEGACAMPSF|r           4148.278409957401     All      -0.0007423591888707866     0.0002799020433130464     -0.00030635625898091455    0.00031931284192294714    
Lambda        AB|MEGACAMPSF|g           3251.0636670422464    All      -0.0007121084946674419     0.00017685416937800787    0.00019721997587169654     0.0002983654074071245     
Lambda        AB|MEGACAMPSF|z           5844.283414738355     All      -0.00011522425127514097    5.278028843005939e-07     -5.605704018109148e-05     3.520268392659024e-05     
Lambda        AB|MEGACAMPSF|i           5072.165844705334     All      0.00034073127677022494     3.303642855223292e-05     -0.00122506663428019       -0.0001548954322848137    
MWEBV         All|All|All               All                   All      -0.26845363430291025       -2.3257905516725685       0.041784452661031146       -0.6682776701482401       
Redshift      All|All|All               All                   All      5.966462982700256          -0.2359381896578583       -0.9036131051192609        -2.0606502175112227       
