#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5323.374559175551    All      0.5784910423543361        0.415383832541405         0.035938720218386955       -0.05152560428111144       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4318.915917055982    All      -1.1448570060432632       0.759813998582981         -0.23558358022093273       0.6099009948325657         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6315.712807527565    All      1.2211789496154646        -0.11251619172121252      0.08991061866741035        -0.4304160868336293        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7809.299861916873    All      0.34430944805916175       -0.06455145770285498      0.1110682116919115         -0.1282229839609853        
Check         All|All|All                       All                  All      0.9991224339856992        0.9981301817003185        0.0013339703567760708      -0.0002636802431603691     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5323.374559175551    All      8.847165003353573e-05     6.025073235614189e-05     -0.0009127500766291263     -4.9924325138626755e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4318.915917055982    All      -0.0005788887904462632    0.0001832693630659925     -0.0014597662172373834     0.00018311732304584173     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6315.712807527565    All      -0.0002599718804543265    2.2673328423741705e-05    -0.00013553347714808191    8.601860668038468e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7809.299861916873    All      -3.674459043671102e-05    8.128001715277745e-06     1.1711928672979525e-05     1.5139129114067413e-05     
MWEBV         All|All|All                       All                  All      -0.8291929121000066       -4.0216461151262095       0.035613821575131155       -1.0382977555278208        
Redshift      All|All|All                       All                  All      3.8734403458267175        -0.21769667821205374      3.1984702079866256         -1.1898848877995452        
