#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5323.374559175551    All      0.5575324651016322         0.43551306985047944       0.08551209364926626       -0.035929719355440815     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4318.915917055982    All      -1.1443989055900827        0.7636135027453861        -0.14905419945621254      0.6148508087980351        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6315.712807527565    All      1.2150574795145272         -0.12558490763669994      -0.008069018861422582     -0.43705141457174007      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7809.299861916873    All      0.3704045214863214         -0.07552770147043475      0.0724544932152906        -0.1420214844906389       
Check         All|All|All                       All                  All      0.9985955605123983         0.9980139634887308        0.0008433685469217411     -0.0001518096197847263    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5323.374559175551    All      0.00012682985518493547     4.2719902449311184e-05    -0.0007578544792639974    -6.121694345107229e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4318.915917055982    All      -0.0005109548006804526     0.00017494843234084896    -0.001095061437649431     0.00017455368601411385    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6315.712807527565    All      -0.00033015692007688004    8.442231857985183e-06     -0.0003722779207368823    9.367982957456428e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7809.299861916873    All      -2.7194572418790788e-05    1.0064686764889722e-05    4.935182109833808e-05     1.4338911620245221e-05    
MWEBV         All|All|All                       All                  All      -0.8362716865533724        -4.021063654908641        0.01780804983974233       -1.0365968291619623       
Redshift      All|All|All                       All                  All      3.604500092539471          -0.0846487985585398       -0.05492738377427155      -1.2041283200896047       
