#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            5370.732786467592    All      0.9374313641140517        0.2539623269544933         -0.4229508122992871       -0.24150270307640415      
Zeropoint     AB|SDSS|SDSS_r            4428.831922047996    All      0.8651809703318327        0.5408308221609204         0.5640349233547096        -0.08048122595156912      
Zeropoint     AB|SDSS|SDSS_z            6385.353586061138    All      0.1686790056954822        0.035191176112725486       0.10042279364110575       -0.03899996965925903      
Zeropoint     AB|SDSS|SDSS_g            3389.322982113208    All      -0.972337236797925        0.16876317976990407        -0.23613187925423063      0.3611564655081432        
Check         All|All|All               All                  All      0.9989541033434415        0.9987475049980432         0.005375025442297621      0.00017256682091093545    
Lambda        AB|SDSS|SDSS_i            5370.732786467592    All      0.0001609623045449495     4.3694811130735094e-05     -0.000297681607184967     -5.148204351744459e-05    
Lambda        AB|SDSS|SDSS_r            4428.831922047996    All      -0.0005722977170261003    -0.00021510843619647473    -0.003347206613143199     -3.302215803615398e-05    
Lambda        AB|SDSS|SDSS_z            6385.353586061138    All      -4.231195481587534e-05    -9.5026515344324e-06       -4.473172017385097e-05    8.690898246783504e-06     
Lambda        AB|SDSS|SDSS_g            3389.322982113208    All      -0.001280914754525512     0.00022316227780345242     -0.0005877115910219597    0.00046370050304851983    
MWEBV         All|All|All               All                  All      -0.7489830370363244       -2.571059636258788         -0.11191124063398754      -0.5985043775860976       
Redshift      All|All|All               All                  All      3.341877772885213         0.8963720896732141         0.5132313539600859        -0.7736784976284908       
