#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            5370.732786467592    All      0.9063602603552343         0.2556477219014752         0.005281466015993885      -0.21172279400963126       
Zeropoint     AB|SDSS|SDSS_r            4428.831922047996    All      0.8341733002389667         0.5588345377377735         0.2666992436619331        -0.07778533098355324       
Zeropoint     AB|SDSS|SDSS_z            6385.353586061138    All      0.1680383917546119         0.03476472967900435        0.14863811007417294       -0.03677858012880973       
Zeropoint     AB|SDSS|SDSS_g            3389.322982113208    All      -0.9113455967292905        0.1491306699927364         -0.41507193165543077      0.3269092547508902         
Check         All|All|All               All                  All      0.9972263556195226         0.9983776593109894         0.005546888096669145      0.0006225496288959631      
Lambda        AB|SDSS|SDSS_i            5370.732786467592    All      0.0002732182804903956      7.020018008693592e-05      6.878786689698856e-05     -6.305998783015382e-05     
Lambda        AB|SDSS|SDSS_r            4428.831922047996    All      -0.0008430429029547033     -0.0002808922415039684     -0.004706043160595253     -2.6898127540982057e-05    
Lambda        AB|SDSS|SDSS_z            6385.353586061138    All      -5.2353026380395195e-05    -1.3638710508885405e-05    -9.133818669223976e-05    8.534522571554705e-06      
Lambda        AB|SDSS|SDSS_g            3389.322982113208    All      -0.0012193196447513061     0.00023221233739208354     -0.0008847169481384174    0.00043333086653043215     
MWEBV         All|All|All               All                  All      -0.7542773667937257        -2.5706173451714776        -0.21975233513907844      -0.6014482241992852        
Redshift      All|All|All               All                  All      3.810264347475231          1.0386600386429024         5.941188224471261         -0.637674762892432         
