#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5230.311589785859    All      0.7345629190708595         0.3120228684927895         -0.5182098613698765        -0.16076052168916713      
Zeropoint     AB|SDSS|SDSS_g            4002.684135883125    All      -0.8479842432148151        0.6051277271502897         0.047418479150374934       0.47544244365104443       
Zeropoint     AB|SDSS|SDSS_i            6342.666967978904    All      1.095193013496553          0.05928510796948672        0.3421526042914223         -0.32216058590851515      
Zeropoint     AB|SDSS|SDSS_u            3043.987446917018    All      -0.06556711495539971       0.01938475272815765        -0.011301392103192656      0.027167288913817582      
Zeropoint     AB|SDSS|SDSS_z            7540.902308754253    All      0.07592688854526147        0.0037900097172638425      0.13698747641601103        -0.017384232755375935     
Check         All|All|All               All                  All      0.9921314629424591         0.9996104660579874         -0.0029526936152608207     0.0023043922118037713     
Lambda        AB|SDSS|SDSS_r            5230.311589785859    All      0.0002152857097627318      7.584336384814557e-05      3.3953119485273995e-05     -4.390578779970805e-05    
Lambda        AB|SDSS|SDSS_g            4002.684135883125    All      -0.0007561245059970987     0.0003550534823221142      -0.0020540014634160687     0.0002702865758407855     
Lambda        AB|SDSS|SDSS_i            6342.666967978904    All      -0.00031718621095261373    -1.9369470052964577e-05    -0.00025568775949524387    8.5598540015896e-05       
Lambda        AB|SDSS|SDSS_u            3043.987446917018    All      -6.699046390373126e-05     1.9204822036097603e-05     -2.3814719608788542e-05    2.7013898812190498e-05    
Lambda        AB|SDSS|SDSS_z            7540.902308754253    All      -1.0826623603997455e-05    -2.9139297656972634e-07    -1.2586678539122718e-05    2.869985559468377e-06     
MWEBV         All|All|All               All                  All      -0.7097698559979877        -3.2682314155970005        0.12269237782602847        -0.8278999035299177       
Redshift      All|All|All               All                  All      4.78689311763135           -0.4868374263445219        -1.6149845022062708        -1.7898968797322903       
