#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5230.311589785859    All      0.7323460101566173         0.30182421805040605       -0.7198402166410434        -0.1723582741974053       
Zeropoint     AB|SDSS|SDSS_g            4002.684135883125    All      -0.7798125031313388        0.6054200065603865        0.4471975543510309         0.47117217414912593       
Zeropoint     AB|SDSS|SDSS_i            6342.666967978904    All      1.0860286585473982         0.058757937272346794      0.18550907300085573        -0.32633745220649324      
Zeropoint     AB|SDSS|SDSS_u            3043.987446917018    All      -0.09851039534648229       0.03435182112703217       0.0883297410677164         0.04721934560253799       
Zeropoint     AB|SDSS|SDSS_z            7540.902308754253    All      0.050216948621780735       -0.0004784934709789468    -0.0016019410310708082     -0.016584660590884814     
Check         All|All|All               All                  All      0.9902687188479752         0.9998754895391926        -0.00040578925251111286    0.0031111327568805747     
Lambda        AB|SDSS|SDSS_r            5230.311589785859    All      0.00016174267608716643     4.255563131567002e-05     -0.00047224873682463883    -5.989743378386708e-05    
Lambda        AB|SDSS|SDSS_g            4002.684135883125    All      -0.0006711669218100793     0.00031730276957122304    -0.0018590004095434627     0.00023901844797193743    
Lambda        AB|SDSS|SDSS_i            6342.666967978904    All      -0.00035755062051208046    -3.988937274086352e-05    -0.0009731076282095347     6.004739501840739e-05     
Lambda        AB|SDSS|SDSS_u            3043.987446917018    All      -9.404940934393319e-05     1.5915107236688272e-05    -0.00016148507157072664    2.8612723705352417e-05    
Lambda        AB|SDSS|SDSS_z            7540.902308754253    All      -2.575428680213919e-05     -5.747088914800001e-06    -0.0001580787602390572     -5.373264708181257e-07    
MWEBV         All|All|All               All                  All      -0.7228678649334799        -3.2644587950883874       0.11019051302985083        -0.822962485299615        
Redshift      All|All|All               All                  All      5.504935183424621          0.05914764185384058       6.599033151871203          -1.4793876220731028       
