#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7574.9244055857125    All      0.16627641271092747        -0.02073066675984947       0.07628265761255859        -0.057510213478129124     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4786.176362866635     All      -0.20075782850453577       0.30653163978864306        -0.03554875871531471       0.16365449131895138       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6195.481177150285     All      0.5730263961469882         -0.03569946230204124       0.018996467133125527       -0.1974343135022122       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5407.205588785644     All      0.3227827859356366         0.10759054701603432        0.04118115841553194        -0.06825746586862358      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6244.7800191681445    All      0.4958977706121931         -0.03699712714011483       0.02950297928635548        -0.1722648174560512       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4381.315145510703     All      -0.34583453626253613       0.2570750682254541         -0.059569742443282836      0.19372916930725098       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5352.128997188894     All      0.32678321686987233        0.15382483653167967        -0.013062680360476087      -0.05692116206761494      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7602.959438360851     All      0.13603088796535362        -0.019453396178903404      0.05042902303431518        -0.04839593094089767      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3580.5164782314814    All      -0.20281060864357064       0.08976980157040515        -0.07924121142930396       0.09176689389190917       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4367.777733596133     All      -0.2844857449408553        0.19643998496037263        -0.036395604214511934      0.15502916355825402       
Check         All|All|All                                All                   All      0.9869087518894735         0.99835122571168           -0.007425711681002811      0.0033958147628368462     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7574.9244055857125    All      -4.595863837868475e-05     7.109879594898435e-07      -6.825556264018965e-05     1.2155900409273164e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4786.176362866635     All      -0.00011392395936252983    -3.00975682528933e-06      -0.0005385133827663773     1.2097025764901246e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6195.481177150285     All      -9.440906693323301e-05     -1.4496623023218856e-05    -0.0002582510445678971     1.450555400788673e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5407.205588785644     All      7.823052344117822e-05      1.484762154907265e-05      -0.0005425641916833639     -4.485804434942229e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6244.7800191681445    All      -0.00011316756139326992    -1.2234088009222687e-05    -0.00021323305993627172    2.336174077289186e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4381.315145510703     All      -0.0002237397480997932     8.354920746693821e-05      -0.0003232458214518351     8.566914593740391e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5352.128997188894     All      2.010620867717199e-05      2.1930028335440238e-05     -0.0005279010767105861     -2.296372242706256e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7602.959438360851     All      -3.413590567609705e-05     8.746465320817746e-07      -4.983564701628412e-05     9.180152627670326e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3580.5164782314814    All      -0.00027688640681188534    0.00010179775645811265     -3.3483581813138924e-05    0.00012185567184416872    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4367.777733596133     All      -0.00020235521807006158    0.00010917194698972806     -0.00020122304691192044    9.249498619962754e-05     
MWEBV         All|All|All                                All                   All      -1.019961170976147         -4.02169466952027          0.0053932487545538255      -0.977522678653013        
Redshift      All|All|All                                All                   All      5.481806735805773          -0.04213651657187789       2.977842462495117          -1.666442617268997        
