#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  SWOPE
@BAND  SWOPE_u
@MAGSYS  Linear_AB11_off
54869.34  15.257  0.008
54871.37  15.077  0.006
54872.37  15.016  0.008
54873.35  15.003  0.009
54874.31  15.009  0.008
54878.37  15.183  0.009
54879.37  15.253  0.007
54884.35  15.661  0.009
54885.31  15.747  0.01
54888.27  16.099  0.009
54896.37  17.078  0.011
54898.32  17.306  0.012
54900.32  17.47  0.02
54902.27  17.671  0.024
54908.3  18.07  0.016
54911.39  18.229  0.016
54914.31  18.346  0.018
54915.33  18.388  0.019
54920.33  18.491  0.019
54927.29  18.606  0.024
54928.31  18.587  0.029
54933.23  18.628  0.048
54937.32  18.701  0.025
54938.31  18.71  0.022
54947.2  18.861  0.023
54963.17  19.124  0.15
54964.16  19.138  0.035
54966.16  19.235  0.033
54968.27  19.268  0.032
