#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5251.028123483878    All      3.6395881599255016        0.04565043895858878       -0.02482337399029033      -1.1717715059295057        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4384.988549318986    All      -2.511602497659197        0.9478017624751089        0.028705573965803755      1.1281227764715378         
Check         All|All|All                            All                  All      1.1279856622663047        0.9934522014336977        0.003882199975513423      -0.04364872945796794       
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5251.028123483878    All      0.0009019322750726418     -4.109277707382859e-05    -0.0009646058519492586    -0.0003502202129848596     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4384.988549318986    All      -0.0002029670028132753    -9.060463019490577e-05    -0.0016403914937847795    -3.6603016947930074e-05    
MWEBV         All|All|All                            All                  All      -0.08764522643887052      -2.3579897499260483       0.0037871020545643397     -0.7393569024448543        
Redshift      All|All|All                            All                  All      1.4372888485061746        -0.10526951414817631      0.4395462458714916        -0.48284707718891096       
