#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5251.028123483878    All      3.598626919033873         0.0577238932390145        0.40608521475739323       -1.1352668896980769        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4384.988549318986    All      -2.6022204884202633       0.9442474908707865        -0.4100698027326424       1.1369017642725336         
Check         All|All|All                            All                  All      0.9964064306136097        1.001971384109801         -0.003984587975249143     0.0016348745744567683      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5251.028123483878    All      0.001295815131057191      -1.553080501460924e-05    -0.0004178897530574309    -0.00044579701375917533    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4384.988549318986    All      -0.0005539935700558956    6.446805556294083e-07     -0.001968554869633921     9.281636269435762e-05      
MWEBV         All|All|All                            All                  All      -0.09006752842018972      -2.3582612854081475       -0.005199012892771836     -0.7390573360763086        
Redshift      All|All|All                            All                  All      0.749687980315531         -0.42133236138539587      -1.3913105912646997       -0.44352765234664193       
