#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7355.362554011222    All      0.3869701007388992         0.2508791888876871        0.2093301748889683         -0.03498784296137572      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5239.269745667077    All      -0.028864930603083483      1.1490510307551105        0.03922717442641629        0.38543650952918995       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6037.285244254554    All      1.6716962929519195         -1.0256982169303264       -0.02859204889347341       -0.8799060653357172       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4236.512386879493    All      -1.0238447485965547        0.6067824295088009        -0.18372609780926197       0.5229500660278459        
Check         All|All|All                                All                  All      1.0059567144911803         0.9810144322212722        0.03623920261264921        -0.0065073327400571035    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7355.362554011222    All      -0.0001014907237583825     -6.337354348219212e-05    -0.00019371068207852166    3.7716015737566475e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5239.269745667077    All      -0.00012785010687435902    0.00045647463495925364    -0.001792477865154929      0.00011034373755940957    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6037.285244254554    All      -0.0004508204681158309     0.00033285626323820367    -0.0013743242930512266     0.00019393951244495655    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4236.512386879493    All      -0.0006846743505686894     0.00029745496059627364    -0.0005393524826437094     0.0002958430035969951     
MWEBV         All|All|All                                All                  All      -0.8473868740258639        -3.8541661320481424       0.02679985869393621        -0.9782109698310129       
Redshift      All|All|All                                All                  All      10.668596199233725         -2.879896903762269        21.506729019892916         -3.4534433965051026       
