#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7355.362554011222    All      0.4796835214405666         0.0533994681680916        0.14352143363076664       -0.13245003806679478       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5239.269745667077    All      -0.09398837807248284       1.0686313603567754        0.7603028680138513        0.412632322914383          
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6037.285244254554    All      1.6223605696636691         -0.702668138097895        -0.2885759326793469       -0.7702161597845716        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4236.512386879493    All      -1.0089959613224262        0.573456511463899         -0.5985414833834302       0.48874667412468903        
Check         All|All|All                                All                  All      0.9990597517093268         0.992819201890871         0.016706885581840858      -0.0012872008122943313     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7355.362554011222    All      -3.976538648922488e-05     -9.444761507099443e-05    0.00010669898731547958    -1.3050315087800932e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5239.269745667077    All      4.798265247585742e-05      0.00015188189455206318    -0.0013270373713595639    -2.5376181693828832e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6037.285244254554    All      -0.00047504106470141143    0.0003129353276874224     -0.0006838711556325402    0.00022615180588507356     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4236.512386879493    All      -0.0007894369447732721     0.00035303993991297957    -0.0011819051765574618    0.00031939930797976533     
MWEBV         All|All|All                                All                  All      -0.8159568227875007        -3.909915827400834        0.056998254494500245      -1.0052606657158263        
Redshift      All|All|All                                All                  All      10.26007676162319          -1.7308691901999573       14.546540642582539        -3.2567002878792635        
