#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_I    7473.125829323251     All      0.9180281263099916        -0.272089092259975        0.25659596650718175       -0.37620963229918003       
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5145.7977458316645    All      1.3291969434695186        0.8640050024616208        -0.20365944349682386      -0.16061670513581847       
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4113.174538592933     All      -1.2463342920079126       0.40547606857064267       -0.07933013596836175      0.5345088377690195         
Check         All|All|All                                All                   All      1.0008907777715976        0.9973919787722885        -0.026393612958003854     -0.0023174996659790503     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_I    7473.125829323251     All      -0.0002548429467862133    0.00011541780357864263    -0.0006993499361362572    8.939733195901912e-05      
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5145.7977458316645    All      0.00020178170579316282    0.00021653421214094042    -0.0030256570175349272    -0.00013021579969202198    
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4113.174538592933     All      -0.0009191446941124273    0.00023075246457783045    -0.0007135254211980693    0.00034271797263391604     
MWEBV         All|All|All                                All                   All      -0.6804926653637526       -3.82071710616243         0.02623380085517013       -1.0217037166389313        
Redshift      All|All|All                                All                   All      8.374829518787402         -1.031050404287548        13.074200236322186        -2.4803630262862577        
