#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B    4365.844374432695    All      -0.8239813103327857        0.10512090582666112        0.392920282991277         0.3201733859704403        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V    5353.311687050165    All      -0.8069408831859062        2.2233634421842563         -1.2440651687073145       0.9315528981294008        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I    7872.598235815747    All      0.902691731758219          -0.8367242832310051        0.629180889213582         -0.5385075678068285       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R    6350.779650008072    All      1.6648124120175023         -0.6277877209226457        0.3379471361295905        -0.7316942590522457       
Check         All|All|All                       All                  All      0.9365819502570298         0.8639723438572666         0.11598313962713491       -0.018475542759233132     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B    4365.844374432695    All      -0.0010652386645698632     0.00028696610489221003     0.00020339111439398298    0.00044953399092314297    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V    5353.311687050165    All      -0.0011436425622765593     0.002717516384743285       -0.003451321803213869     0.0011036898566708613     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I    7872.598235815747    All      -0.00023462221534081536    0.0004230225046785945      -0.0001575612748033475    0.00020718528513724796    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R    6350.779650008072    All      0.00020779401343927028     -0.00038588096464905574    -3.788133950835019e-05    -0.0001950699418895668    
MWEBV         All|All|All                       All                  All      -0.8548550775040513        -4.110266407081387         0.001801927098488143      -1.0603141581644437       
Redshift      All|All|All                       All                  All      7.789126656831856          -10.090164061955864        6.3550308917562965        -5.54027735720427         
