#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                   ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B    4365.844374432695    All      -1.0188512872846036        0.6210306934300469       -0.015827171781948566     0.5334572176483791        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V    5353.311687050165    All      0.18111554668852836        0.9549366531211412       -0.2971901655378772       0.23879676018043117       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I    7872.598235815747    All      0.44421280701622523        -0.20099264126924865     0.13810385327546573       -0.20400170045170524      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R    6350.779650008072    All      1.3918703772516103         -0.3784974501072291      0.17234588729217556       -0.5689760393484729       
Check         All|All|All                       All                  All      0.9983474436717602         0.9964772551747103       -0.0025675967521844867    -0.000723761971367809     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B    4365.844374432695    All      -0.0007645272414869312     0.0005213768535509421    -0.0003710299263684873    0.00040230390720696766    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V    5353.311687050165    All      -0.00031450398204106364    0.0008819149058340013    -0.00229070547113639      0.00028748932844605197    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I    7872.598235815747    All      -4.555256276246411e-05     5.924921933330718e-05    8.356744653135078e-05     3.7866619632106305e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R    6350.779650008072    All      -0.00032912325998317416    7.695422680931708e-05    -0.0005977312350566993    0.00010559879726049623    
MWEBV         All|All|All                       All                  All      -0.8180231517432404        -4.089693098610869       0.021667480630915798      -1.0647236162935485       
Redshift      All|All|All                       All                  All      6.643797990840818          -5.608596529659149       4.225926890444179         -3.802424278993197        
