#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            5151.18876766337     All      0.8228828811961497         0.418926637404482         0.4689809889044917        -0.1106533707855871        
Zeropoint     AB|SDSS|SDSS_z            7426.825458498558    All      0.07344324630258374        0.002362831680358113      0.0690736521437453        -0.020070789667274436      
Zeropoint     AB|SDSS|SDSS_i            6246.716716894508    All      1.1726961117382018         0.011011962033080636      -0.15667012823033405      -0.3853902140953345        
Zeropoint     AB|SDSS|SDSS_g            3942.13254933626     All      -1.0723437613551168        0.5661007301476673        -0.38619300350243546      0.5164612540791369         
Check         All|All|All               All                  All      0.9966784778818187         0.998402161265588         -0.00480849068453254      0.0003468795309408135      
Lambda        AB|SDSS|SDSS_r            5151.18876766337     All      0.0001202330885552555      4.54308060635329e-05      -0.0002624636788494411    -3.6078112864526396e-05    
Lambda        AB|SDSS|SDSS_z            7426.825458498558    All      -1.3976748260203474e-05    2.952690004738676e-06     2.984466775285452e-05     6.846305455075968e-06      
Lambda        AB|SDSS|SDSS_i            6246.716716894508    All      -0.0003416099214936582     -9.98814913327404e-06     -4.610657054231744e-05    0.00010596259680654289     
Lambda        AB|SDSS|SDSS_g            3942.13254933626     All      -0.0009691068453761282     0.00029735643698120966    -0.001949118675171762     0.0003255485419735526      
MWEBV         All|All|All               All                  All      -0.5772576847654265        -3.2230396578473375       0.13107765780383043       -0.8559688384243604        
Redshift      All|All|All               All                  All      5.020346132379017          0.41806960624057865       -5.197716517430506        -1.731063090888084         
