#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5151.18876766337     All      0.7721637022561029         0.4282501940375383        0.5098404361609095         -0.08927210699170034      
Zeropoint     AB|SDSS|SDSS_z            7426.825458498558    All      0.0796079341098367         2.1121401694301767e-05    0.05075748325023831        -0.02365896987063836      
Zeropoint     AB|SDSS|SDSS_i            6246.716716894508    All      1.1882980708700042         0.0014077766129716451     -0.22159034672846883       -0.3964977758172094       
Zeropoint     AB|SDSS|SDSS_g            3942.13254933626     All      -1.042496976372422         0.5690021088941677        -0.3381944468853493        0.5098262039228979        
Check         All|All|All               All                  All      0.997572730863522          0.9986812009463719        0.0008131257973296724      0.0003973512433498305     
Lambda        AB|SDSS|SDSS_r            5151.18876766337     All      0.00016094620493222288     8.012905241808069e-05     -0.00012109939881046137    -3.172891535868906e-05    
Lambda        AB|SDSS|SDSS_z            7426.825458498558    All      -1.7974724454110025e-05    2.188532506961969e-07     -9.015567062817141e-06     5.5239234583714256e-06    
Lambda        AB|SDSS|SDSS_i            6246.716716894508    All      -0.0002945046499652473     -5.866583869530996e-06    -1.1104582743272273e-05    9.352336751136419e-05     
Lambda        AB|SDSS|SDSS_g            3942.13254933626     All      -0.0010171502102217238     0.0003694311806775631     -0.0017535687803584999     0.0003734014553713917     
MWEBV         All|All|All               All                  All      -0.5751112887756609        -3.2271016169445943       0.1147055705606553         -0.8587217149844051       
Redshift      All|All|All               All                  All      4.8730664597646            0.11713949346514596       -5.653508831530141         -1.8014520117977473       
