#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7351.431596479458    All      0.5883231589082707        -0.38766314514049327      0.0719803811985803         -0.31469869440539366       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6058.157605033766    All      1.3312025238670244        -0.21195932612378954      0.09785852577377796        -0.4982916065015656        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5349.006773797964    All      0.5062456900042035        0.5316362488942517        0.3641965084465876         0.024522957832974132       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4595.712004447367    All      -0.8310299208089301       0.6413158422706289        -0.17501557829107672       0.47178131233018944        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4268.3313276331      All      -0.648619286679457        0.6214745488200002        -0.24172402565733886       0.40292431400143386        
Check         All|All|All                      All                  All      0.9461221652911116        1.194804168720598         0.11729581147053025        0.08623828325763816        
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7351.431596479458    All      0.00020758157082507143    -0.0004778991244506494    -0.0004160245991924368     -0.00024184888122641198    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6058.157605033766    All      -7.715676280536509e-05    -0.0002140914200685057    -0.0006297584625777668     -7.270735069586145e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5349.006773797964    All      3.760772895811224e-05     0.0007907164310316284     -0.0009901816216819502     0.00020112502276973583     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4595.712004447367    All      -0.0005029605240975723    0.0007923495065253056     -0.00017602935379202106    0.00041406970982194496     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4268.3313276331      All      -0.000611648004158207     0.0006167745559727773     -0.00021405999885875111    0.00039058512712942525     
MWEBV         All|All|All                      All                  All      -0.8288330902651264       -3.9705265411967616       0.02224429504517067        -1.0223602548893964        
Redshift      All|All|All                      All                  All      8.449686237421068         -1.4796586391377708       10.838644223589858         -2.7506353804322567        
