#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           3955.384671570091    All      -1.1696633105884027        0.33808828104167077        -0.6385369505936989        0.46262932553704783       
Zeropoint     AB|MEGACAMPSF|i           4832.92763869774     All      1.4772254998130725         0.5498412380356754         0.6200658094560718         -0.2744088748801027       
Zeropoint     AB|MEGACAMPSF|g           3105.059682013311    All      -0.24497721736427658       0.03874306077644718        0.04288363778006121        0.09433072850703328       
Zeropoint     AB|MEGACAMPSF|z           5570.878702963757    All      0.9331560718897343         0.07135693619506611        -0.026088061884854685      -0.28188052122895546      
Check         All|All|All               All                  All      0.9957410437501273         0.9980295160488595         -0.001675565242420518      0.0006706579350229669     
Lambda        AB|MEGACAMPSF|r           3955.384671570091    All      -0.0009260891919008409     0.000154787459334048       -0.0013704483967784222     0.00029092026738639906    
Lambda        AB|MEGACAMPSF|i           4832.92763869774     All      -0.00031468019179263973    -0.0001527385164997953     -0.0014035141441692525     -9.882658781219285e-06    
Lambda        AB|MEGACAMPSF|g           3105.059682013311    All      -0.0006969224095698828     0.00010920436860609592     7.717551076798489e-05      0.00026602600102644715    
Lambda        AB|MEGACAMPSF|z           5570.878702963757    All      -0.00012759711341422633    -1.7131929048182684e-05    -0.00013980011511473535    2.974350768577358e-05     
MWEBV         All|All|All               All                  All      -0.34655943289448166       -2.150330993145211         0.09702737525817406        -0.5832178533681953       
Redshift      All|All|All               All                  All      2.2836023939825774         0.43824255803386336        2.1843717195079657         -0.5036159317186067       
