#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           3955.384671570091    All      -1.172432141591214         0.34832254544934216        -0.5581825297524505       0.47045071024901325        
Zeropoint     AB|MEGACAMPSF|i           4832.92763869774     All      1.575458600490975          0.540349741666013          0.6091470564601847        -0.30998557397065685       
Zeropoint     AB|MEGACAMPSF|g           3105.059682013311    All      -0.3069858843566926        0.04768342230772049        0.0743409789375314        0.11884495790842181        
Zeropoint     AB|MEGACAMPSF|z           5570.878702963757    All      0.8901559047143428         0.06335411030455873        -0.1202797040225115       -0.27468407617617857       
Check         All|All|All               All                  All      0.9861964792574108         0.9997098197276344         0.005025801622754109      0.004626018010599642       
Lambda        AB|MEGACAMPSF|r           3955.384671570091    All      -0.0010407241743018566     0.0002213760139831277      -0.0013164144263218415    0.0003523620234133199      
Lambda        AB|MEGACAMPSF|i           4832.92763869774     All      -0.00023816581581430384    -0.00011032024350437338    -0.0012668401257376158    -1.4889747529681734e-05    
Lambda        AB|MEGACAMPSF|g           3105.059682013311    All      -0.0008703212215279692     0.00013130676635778293     0.00014628006857092413    0.00033279099585666733     
Lambda        AB|MEGACAMPSF|z           5570.878702963757    All      -7.329226685254898e-05     -9.143136948051246e-06     -7.367919112126652e-05    1.7607518150125155e-05     
MWEBV         All|All|All               All                  All      -0.3277030209644458        -2.1553882994084006        0.09235366049660676       -0.5912159045459022        
Redshift      All|All|All               All                  All      2.222145746357388          0.11908434247036581        1.3553602355686574        -0.6245527855420574        
