#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_i          4877.094761521085     All      0.6749931842662834        0.38238805851271707        0.38929710018350566       -0.07793857427636028      
Zeropoint     AB|DECam|DECam_g          3020.5102043251354    All      -0.24302248024480844      0.06985583733172263        0.15940298077806678       0.1090281843462952        
Zeropoint     AB|DECam|DECam_r          4014.482452683071     All      -0.8187455391499484       0.37409805511412486        -0.7261615777892685       0.35614314596317376       
Zeropoint     AB|DECam|DECam_z          5715.237764637222     All      1.3734814324072644        0.17444116425409106        0.1893738906788059        -0.3821159756124355       
Check         All|All|All               All                   All      0.986706597278791         1.0007831152126556         0.011912393851109815      0.005116780420673206      
Lambda        AB|DECam|DECam_i          4877.094761521085     All      -0.0002478820531409165    -9.27677399591283e-05      -0.0012576567640369906    -5.597610257745759e-06    
Lambda        AB|DECam|DECam_g          3020.5102043251354    All      -0.000749666443210778     0.00019525509197306388     0.00030947323437491563    0.0003216024000955066     
Lambda        AB|DECam|DECam_r          4014.482452683071     All      -0.0005366506932189217    0.00019823457702920527     -0.0007432558238067489    0.00020620821576110827    
Lambda        AB|DECam|DECam_z          5715.237764637222     All      -0.0004590710612931957    -5.4092500527596234e-05    3.395449614392347e-05     0.00013343007385580358    
MWEBV         All|All|All               All                   All      -0.3275649734774919       -2.0778978882274757        0.19280413561756737       -0.5615370515212954       
Redshift      All|All|All               All                   All      5.401898490237912         0.6416995019877803         4.177466422876712         -1.364132276324437        
