#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I             7939.3279152101595    All      0.055232782841847135       -0.00723656867207545       0.027236015538138324       -0.01913290468573213       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6214.842832527595     All      0.2511890783983218         -0.03652959850048987       -0.022272081312613556      -0.09471333942626702       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R             6420.872022315446     All      0.19644804209845468        -0.002457423687740601      0.09956329078065877        -0.06034700161213194       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B             4390.827642685934     All      -0.12648857217328605       0.12365583472844222        0.099683315888793          0.0859286713936459         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6258.714274076485     All      0.3005520441614351         -0.039429898099729854      -0.05121984820575727       -0.11302901024930088       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4801.133764021306     All      -0.13009936981443712       0.1933226920292963         0.14984224215334796        0.1120359768790691         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7625.1346002919945    All      0.09480487181139204        -0.01582011165597308       0.026015604224186906       -0.03487323963799724       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V             5412.0109341540765    All      0.14112594089084657        0.10238447126855732        0.1804927768472043         -0.004564807555121256      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V             5381.741558163616     All      0.10651040164097128        0.04041556809051272        -0.16004814974970094       -0.02867147559158554       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4395.007304605565     All      -0.20550078587617482       0.1442651654811833         -0.010309001712106098      0.11347023391622137        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R             6361.843856104314     All      0.23266865909839113        -0.045711102287704364      -0.10437019773723256       -0.09533500927560142       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B             4449.899162485965     All      -0.22765215211164144       0.10253190868896311        -0.2517387249010333        0.09631786823751239        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R             6363.07623190356      All      0.18839788144176833        -0.03934694061089594       -0.03642208759042477       -0.07580933161320928       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3591.706041098685     All      -0.10324212628422313       0.046594907397157215       -0.03505697500903298       0.04724241957822242        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I             8217.638071559204     All      0.042365728985501866       -0.010597139028334368      0.005270319447086079       -0.017016558387487116      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5368.855071276677     All      0.16322993887090007        0.09633950636200872        0.1526276698266209         -0.014977342587180545      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B             4416.76010268318      All      -0.14756497877772606       0.09074308632719408        -0.045301523780739386      0.07560317796317878        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5431.430024637249     All      0.17722698870092163        0.08513607758882102        -0.02438453976826904       -0.031085209465913186      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4391.894614106218     All      -0.24295521976512463       0.15874579160390923        -0.04877232910034408       0.12867074992908362        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7598.596993986278     All      0.08084315104874726        -0.013031595912771365      0.04716370301242072        -0.02847339402241596       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V             5378.6136503886555    All      0.0812971626044536         0.0377963803789072         -8.215193595644644e-05     -0.01417330196767832       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I             7882.469094961145     All      0.06720036611722496        -0.015650090224017532      0.00219087975356901        -0.02688935042833992       
Check         All|All|All                                All                   All      0.9955898339085643         0.99612092126522           0.00010820666881565305     0.00017782139097183292     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I             7939.3279152101595    All      7.73778266927611e-06       -2.393012091995873e-06     1.0017367308385412e-05     -2.8529040521248155e-06    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6214.842832527595     All      -5.3206293991554495e-05    -1.873060763104153e-06     -9.24264202036745e-05      1.25963562412205e-05       
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R             6420.872022315446     All      -6.668448452567853e-05     4.149188554131329e-06      -5.461394477989396e-05     2.0635688157968856e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B             4390.827642685934     All      -1.3980267767905656e-05    1.14857096223195e-05       1.4573882032755896e-05     8.94547206146994e-06       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6258.714274076485     All      -0.00010360339144225478    1.2961586915280219e-06     -0.00018985750142440263    2.5696766266657866e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4801.133764021306     All      -7.298842052004065e-05     -2.4448631523032745e-05    -0.00039513771272925614    -1.8221751292834534e-06    
