#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7403.64701520433     All      0.6400428889139016         -0.09366648397541866      1.284196300079561          -0.18168549829915975       
Zeropoint     AB|CNIa02|SDSS_r                      6105.220561918597    All      1.4627642138955907         -0.11689989008489832      2.2853817657587774         -0.4125624762448002        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5414.703366354533    All      -0.38316704819237307       0.4576986977445685        -5.761966826897283         0.016767521385020745       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4328.118033508789    All      -0.7235783668439433        0.7524917853826807        2.202504729438257          0.5790922801823014         
Check         All|All|All                           All                  All      0.9960616877731762         0.9996241090669322        0.010115968379312168       0.0016118270233621557      
Lambda        AB|CNIa02|SDSS_i                      7403.64701520433     All      -0.00013241553322770194    1.990802851158864e-05     -0.00025544749921669046    3.8217346692704876e-05     
Lambda        AB|CNIa02|SDSS_r                      6105.220561918597    All      -0.00030235608689699236    2.4655459905563997e-05    -0.00048533510692441386    8.486014239541097e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5414.703366354533    All      -0.00016893733866844873    9.34908198387762e-06      -0.0017872123538501636     -2.1681326327409154e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4328.118033508789    All      3.415444027463855e-05      -3.063441577148141e-05    -7.698926946444433e-05     -2.4539539401546852e-05    
MWEBV         All|All|All                           All                  All      -0.8654642881164487        -4.0411727742356796       0.2007528913828216         -1.0254740521171937        
Redshift      All|All|All                           All                  All      5.219066846024271          -0.14798057487803717      4.81622339434885           -1.5332979856275297        
