#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7403.64701520433     All      0.6601201713461714         -0.11415500328935124      1.1854343063851112         -0.19930640868428742       
Zeropoint     AB|CNIa02|SDSS_r                      6105.220561918597    All      1.4791282728040942         -0.14514493957911156      2.178754503938017          -0.4318514154213998        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5414.703366354533    All      -0.39995101727292026       0.5078553111308892        -5.406428996933106         0.05443829179934004        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4328.118033508789    All      -0.7433096601571512        0.7510171563755996        2.0509473582181967         0.5782757669734996         
Check         All|All|All                           All                  All      0.9959877667201943         0.999572524638026         0.008707171608218989       0.0015562346671523786      
Lambda        AB|CNIa02|SDSS_i                      7403.64701520433     All      -0.00011943614920682844    2.0627720773305235e-05    -0.00021517281076462627    3.6021236125530905e-05     
Lambda        AB|CNIa02|SDSS_r                      6105.220561918597    All      -0.00019613347003508404    1.9498741658362446e-05    -0.0002901816391593982     5.728903163798337e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5414.703366354533    All      -0.00015145873764551448    5.19751683888024e-05      -0.0019401879863282629     -2.0316562896630352e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4328.118033508789    All      -5.197375613574917e-05     5.249837759407272e-05     0.00014330818604662134     4.042519713948177e-05      
MWEBV         All|All|All                           All                  All      -0.866726830255161         -4.045066804741015        0.16889061968231195        -1.0277530812994717        
Redshift      All|All|All                           All                  All      4.93925126370005           -0.6969209275389687       4.259122216596883          -1.6458216441580606        
