#Format:      
#Parameter    MagSys|Instrument|Band         RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     VEGAHST|ACSWF|F775W            3466.708514941391    All      -0.10171129014758706      -0.04784349711925984      7.149485099647768         0.33659519598699394        
Zeropoint     VEGAHST|NICMOS2|F110W_faint    5204.012361847068    All      0.8604573158415407        0.5615373104220112        -3.567780959814204        -0.2565817579524676        
Zeropoint     VEGAHST|ACSWF|F850LP           4071.881939434301    All      -0.6779047669061099       0.5823078950577099        -8.173130283134489        0.04576345706006346        
Zeropoint     VEGAHST|NICMOS2|F160W          7245.940248212251    All      0.9365396413671631        -0.10041114451553312      4.750846267915754         -0.12576053654014263       
Check         All|All|All                    All                  All      1.017380900155007         0.9955905638449281        0.15942012461482857       1.6358554447148954e-05     
Lambda        VEGAHST|ACSWF|F775W            3466.708514941391    All      -7.64447926813851e-05     -0.0002535452377398585    0.017411919850210247      0.0007193265714724204      
Lambda        VEGAHST|NICMOS2|F110W_faint    5204.012361847068    All      0.00033139787635407274    0.00021446805216071788    -0.001159299031916905     -8.982208194331298e-05     
Lambda        VEGAHST|ACSWF|F850LP           4071.881939434301    All      -0.0006507226329886588    0.00040975667556386375    -0.007786972393536544     -2.0638141244247443e-06    
Lambda        VEGAHST|NICMOS2|F160W          7245.940248212251    All      -0.0003988888442732994    2.6811861208440602e-05    -0.0018272922582801907    5.712106387535956e-05      
MWEBV         All|All|All                    All                  All      -0.069408980187746        -1.2610828295853693       0.5359797010206169        -0.36424906526312667       
Redshift      All|All|All                    All                  All      3.3034715968275856        -0.9258723232861144       8.24366410104369          -1.009759589013262         
