#Date  :
#Flux  :
#Fluxerr  :
#ZP  :
#end  :
@INSTRUMENT  NICMOS2
@BAND  F110W_faint
@MAGSYS  VEGAHST
53438.89999999991  0.2558585886905653  0.014139206156500281  22.92
53444.89999999991  0.24888573182823953  0.013753873535145806  22.92
