#Format:      
#Parameter    MagSys|Instrument|Band         RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     VEGAHST|ACSWF|F775W            3466.708514941391    All      -0.4247664997775364        0.0332374425976667         3.2464702176197373        0.2940620072277222        
Zeropoint     VEGAHST|NICMOS2|F110W_faint    5204.012361847068    All      1.1121704354805728         0.4829402435657215         -1.1987159213176617       -0.25845416063041404      
Zeropoint     VEGAHST|ACSWF|F850LP           4071.881939434301    All      -0.510629390532703         0.5031915578918245         -4.287688889587785        0.1388949741208472        
Zeropoint     VEGAHST|NICMOS2|F160W          7245.940248212251    All      0.8372668621239441         -0.03294622059790697       2.4310608156097753        -0.17496995146036218      
Check         All|All|All                    All                  All      1.0140414072942778         0.9864230234573057         0.19112622232406595       -0.0004671307422068338    
Lambda        VEGAHST|ACSWF|F775W            3466.708514941391    All      -0.0006489399247561533     -0.00011821063638293812    0.0072370110146103075     0.0004958305528908233     
Lambda        VEGAHST|NICMOS2|F110W_faint    5204.012361847068    All      0.00040399740892886415     0.00016617916622134728     -0.0004705717041208177    -9.846467953487586e-05    
Lambda        VEGAHST|ACSWF|F850LP           4071.881939434301    All      -0.00041126299494495175    0.0002527102618981421      -0.0035290210833311057    5.8793931083626165e-05    
Lambda        VEGAHST|NICMOS2|F160W          7245.940248212251    All      -0.00033010859747915065    1.2102639494413941e-05     -0.0009358576272977506    6.970643062989341e-05     
MWEBV         All|All|All                    All                  All      -0.09087680055851455       -1.2513843070738773        0.21909486491288463       -0.3682382768802272       
Redshift      All|All|All                    All                  All      2.809529544952713          -0.5414941164993081        3.028085575457546         -0.9564091002001099       
