#Date  :
#Flux  :
#Fluxerr  :
#ZP  :
#end  :
@INSTRUMENT  NICMOS2
@BAND  F160W
@MAGSYS  VEGAHST
53437.89999999991  0.12589254117941673  0.01623311300834695  22.11
53443.89999999991  0.11803206356517291  0.015219550010760372  22.11
