#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I    8175.945861669103     All      0.23170311305648641       -0.026254863872665624      -0.010812945895627955     -0.08450793176444726      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V    5348.361744574367     All      0.6593396716586736        0.5422639663580142         0.5860108198384303        -0.011984437453678968     
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U    3627.0732361636146    All      -0.4054113672783423       0.3021706638610233         -0.10374940973720259      0.22585288664669997       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R    6319.727079425904     All      1.07224518335439          -0.11845217519859119       -0.2630085061323009       -0.3995861641345624       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B    4333.46542481098      All      -0.5626778617555718       0.301165679827875          -0.2097583317798186       0.27202171013993864       
Check         All|All|All                                All                   All      0.995198739035636         1.0008932709756557         -0.0013183737065197987    0.0017960634339500015     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I    8175.945861669103     All      5.9066166197095135e-06    -1.2031781203038809e-05    -3.038832624832904e-05    -7.199217758556809e-06    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V    5348.361744574367     All      8.964280733294168e-05     0.0003958885572402556      -0.0014351048754173833    3.571217653913108e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U    3627.0732361636146    All      -0.0011010433420807204    0.0008156169995520751      -0.0003467244640509224    0.0006088466091393548     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R    6319.727079425904     All      -0.0002666501044492844    2.8220323562944003e-05     -0.0005226649585329443    7.272486276651955e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B    4333.46542481098      All      -0.0004576335603437619    0.0003507592681372637      -0.0005433236003028127    0.00023907410268388934    
MWEBV         All|All|All                                All                   All      -1.036983115836188        -3.921017854783493         -0.05924914775496838      -0.9420690137425849       
Redshift      All|All|All                                All                   All      8.312842563718263         -4.945937697467162         3.5079451685321477        -4.1622774505200395       
