#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5291.093515308569    All      0.2270425160386138         0.6126300992434608         1.8067116972438533         0.20622380642581595        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4273.985899568838    All      -1.1404496613131128        0.7367314432727312         -0.602944111778666         0.5845530167010315         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6110.682222343545    All      1.6272197152153058         -0.26868464149929494       -1.5289928812371223        -0.6857903522619175        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7439.696664187614    All      0.28157682863414646        -0.08142085521312126       0.3153848744549599         -0.10416610946154341       
Check         All|All|All                                All                  All      0.9953893985749535         0.9992560458037758         -0.009840421316975156      0.000820361403386552       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5291.093515308569    All      -8.031281720716861e-05     0.0005576986633890994      7.990717791026907e-05      0.0002113872195341938      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4273.985899568838    All      -0.001090257672162995      0.0007059536917605259      -0.0005583856418799367     0.0005601669482038989      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6110.682222343545    All      -0.00018314085627930775    3.2033167702812415e-05     0.00032400960933634364     8.454831936846881e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7439.696664187614    All      -4.438756849727685e-05     -5.2681324835556985e-05    -0.00031421984554862414    -1.6723737843140602e-05    
MWEBV         All|All|All                                All                  All      -0.8781800475611794        -3.973890693642268         0.06504822698295491        -1.0054719996691934        
Redshift      All|All|All                                All                  All      9.470016709818578          -3.516600417953164         3.1068104668962455         -4.091525763455035         
