#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5291.093515308569    All      -0.16423026065802904      0.7824492726708598        1.6335210184402538        0.38126120939908914        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4273.985899568838    All      -1.4484949908659965       1.141698659843815         -0.40332474697946097      0.8257127558220279         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6110.682222343545    All      2.238974643052786         -0.7369728918806828       -0.8694802912395883       -1.0081649299131246        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7439.696664187614    All      0.3802926306806419        -0.19472414089962697      -0.4025150500074792       -0.2052642779906494        
Check         All|All|All                                All                  All      1.0065420222094026        0.9924508997343651        -0.04179906978627468      -0.00645524268265707       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5291.093515308569    All      0.00020802124225735574    0.0006102385765438909     0.0012356535026324014     0.00018615695900559419     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4273.985899568838    All      -0.00136724451720785      0.0007024449803328404     -0.001568148629627606     0.0006041866890168431      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6110.682222343545    All      -0.0006520316262421595    0.00046319094322329845    0.0014774168484071224     0.0004291950090219003      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7439.696664187614    All      -4.509083101660886e-05    -5.086522150666823e-05    -0.0001842553526082048    -1.0103379087095578e-05    
MWEBV         All|All|All                                All                  All      -0.8675023091442537       -3.9562479500734327       0.07305967350010878       -1.0028457542865354        
Redshift      All|All|All                                All                  All      9.363157780909455         -3.2262192297281445       -2.196956826014862        -4.198814363453302         
