#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_g                4814.030697418607    All      -1.1223360259321655        1.2844071116006717         0.23345624068211723        0.7943734991877157        
Zeropoint     AB|PS|PS_z                8509.879581260764    All      0.29384633913260927        -0.08216968622356546       -0.03760541848150112       -0.12415894712968743      
Zeropoint     AB|PS|PS_i                7404.763070959173    All      0.5440916726203181         -0.09469229073442165       0.469545952527195          -0.18711927291808275      
Zeropoint     AB|PS|PS_r                6113.492180834272    All      1.275635514648813          -0.10648793369965048       -0.6701368517000539        -0.48010820750207517      
Check         All|All|All               All                  All      0.9912375004695748         1.001057200943034          -0.004740076972242768      0.0029870716378703754     
Lambda        AB|PS|PS_g                4814.030697418607    All      -0.00024186605282311484    -0.00010076096453510397    -0.0021690082115311997     -5.083030511132362e-05    
Lambda        AB|PS|PS_z                8509.879581260764    All      0.0003473403892042817      -8.753962458061343e-05     6.961204071057049e-05      -0.0001385482619568557    
Lambda        AB|PS|PS_i                7404.763070959173    All      -7.52141540709856e-05      5.298990463535849e-07      -0.0001827016125085407     1.651919615754694e-05     
Lambda        AB|PS|PS_r                6113.492180834272    All      -0.00014650625545028457    3.2476374337108595e-06     -0.00027664880380190893    3.643420415737261e-05     
MWEBV         All|All|All               All                  All      -0.7289497656105115        -4.073950168018836         0.10708217419022059        -1.0847980926854282       
Redshift      All|All|All               All                  All      4.522195129022027          1.923367964785072          9.735982718412162          -0.4120513132946216       
