#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4309.791456969665    All      -0.9550150778538263        0.711306269302181         0.39956730699832743        0.560606536877778         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7716.523248793473    All      0.5386300648136888         -0.09716374135830819      0.8325050262685485         -0.16994808390006708      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5291.458262095699    All      0.1398181010534822         0.4479774338660647        -1.4491982842092632        0.035706569340688415      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6432.1082737735      All      1.2753293006962132         -0.0657550002176599       0.2318564504157461         -0.4264885886667478       
Check         All|All|All                                      All                  All      0.9987623887095579         0.9963649615922776        0.014730499473358805       -0.0001235663483485916    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4309.791456969665    All      -0.00037994482609134394    0.00017376293488256329    -0.00038670608412520063    0.00016310391773575073    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7716.523248793473    All      -8.422312857273812e-05     1.5204223104736507e-05    -0.00012608939014655977    2.6759969129444933e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5291.458262095699    All      -0.00013720032792148985    8.26652662767043e-05      -0.001543306953798191      2.7467561979941307e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6432.1082737735      All      -0.00034695066292377463    1.0606463745151922e-05    -0.0004883007108725253     9.467750139393832e-05     
MWEBV         All|All|All                                      All                  All      -0.7870296777556871        -3.9975177225062275       0.1582213296345003         -1.0387008868373335       
Redshift      All|All|All                                      All                  All      5.555139073058738          -0.2549864241410127       4.9807131113069225         -1.6702826713194472       
