#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4309.791456969665    All      -0.9600103190852659       0.7163281218647732        0.32188345477165653       0.5604027603432431        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7716.523248793473    All      0.5143920513063843        -0.10348513726547992      0.6014039111456979        -0.17442503346739535      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5291.458262095699    All      0.20535992588013413       0.49890260498912653       -0.8150857667966795       0.05924297363447794       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6432.1082737735      All      1.2374100720883465        -0.11396046763101353      -0.10990142745053155      -0.445090239504913        
Check         All|All|All                                      All                  All      0.9971517301895989        0.9977851219574063        -0.0016998283298567118    0.00013046100541269645    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4309.791456969665    All      -0.000389109615350851     0.0001833233487005758     -0.0002609775712655178    0.00017481401849773646    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7716.523248793473    All      -7.391923941487399e-05    1.6187769757539867e-05    -9.161240597385939e-05    2.526257640195281e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5291.458262095699    All      -0.0001106409834949048    0.00011065830557848889    -0.00150118995289901      5.093246099748964e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6432.1082737735      All      -0.0004039160865590872    1.6016647714379074e-05    -0.0008531971933335029    9.871163478396625e-05     
MWEBV         All|All|All                                      All                  All      -0.7978132370139859       -3.9975516284028956       0.09125483261874397       -1.0381877782801765       
Redshift      All|All|All                                      All                  All      5.342235672959727         -0.4327702712397574       4.73858198123879          -1.6696482777751696       
