#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                    
Zeropoint     AB|PS|PS_z                5718.632358512802     All      1.2907489378230315         -0.01373065317107347      -0.9612995236511355       -0.4678103015421208      
Zeropoint     AB|PS|PS_r                4108.261917808984     All      -1.1805169994085043        0.48881500136914724       -0.8679617651233068       0.5050232048715826       
Zeropoint     AB|PS|PS_i                4975.994936280191     All      1.1104333800431827         0.4707794902454765        1.7988515195481318        -0.12808183440378249     
Zeropoint     AB|PS|PS_g                3235.0248271143446    All      -0.23309208101239598       0.0547200619028132        0.03930989405583089       0.09550410371363455      
Check         All|All|All               All                   All      0.9875732374453142         1.0005839003463635        0.008900124829520337      0.004635172639313873     
Lambda        AB|PS|PS_z                5718.632358512802     All      -2.1923273448199847e-05    3.6281620032717254e-05    0.0010944378802905839     6.779898471684922e-05    
Lambda        AB|PS|PS_r                4108.261917808984     All      -0.0006838904027515296     0.00028136962368128295    -0.0006767124945909728    0.0002842183761152604    
Lambda        AB|PS|PS_i                4975.994936280191     All      -0.0002199063404767552     -8.372666436549742e-05    -0.0008079878021854031    8.301416029921027e-06    
Lambda        AB|PS|PS_g                3235.0248271143446    All      -0.0005856075523586152     0.0001367494801306197     7.852285182386454e-05     0.0002387995645567115    
MWEBV         All|All|All               All                   All      -0.2845296898241587        -2.3120414520155563       0.08063780053268561       -0.6568287894196807      
Redshift      All|All|All               All                   All      6.137944618551765          0.691544661200183         3.166532655052389         -1.6327638383092524      
