#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5122.8720100012915    All      3.712056439175877         0.16883964935878737       0.2020732012619366        -1.1451246779297084       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4277.968918699769     All      -2.7159901675764995       0.8331065023776674        -0.2043139713548247       1.1469399530549043        
Check         All|All|All                            All                   All      0.9960662715993779        1.0019461517364547        -0.002240770092888117     0.0018152751251958588     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5122.8720100012915    All      0.0007401985624930912     6.972033293673104e-05     0.00016967232896449188    -0.0002108251206802035    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4277.968918699769     All      -0.0005498581481666633    0.00011986669030601482    -0.0010633125962437521    0.00017070065563103715    
MWEBV         All|All|All                            All                   All      -0.046540513689318885     -2.266089179070896        0.0007379721204191363     -0.7229470889905797       
Redshift      All|All|All                            All                   All      3.9107242327290517        -0.08160548692952574      -2.9385240912213817       -1.431565967477494        
