#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5122.8720100012915    All      3.622069979894534         0.15575926088953196       -0.4411222307700413       -1.1487766985734522        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4277.968918699769     All      -2.6256087868768208       0.8463709635782024        0.4470379146975123        1.1508872784262485         
Check         All|All|All                            All                   All      0.9964611930177134        1.0021302244677344        0.005915683927470994      0.0021105798527962794      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5122.8720100012915    All      0.00044202317906077315    5.5545197196949434e-05    -2.074025799857885e-05    -0.00012681413589890196    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4277.968918699769     All      -0.0004132524144695396    0.000108563112876841      -0.0007309986094332996    0.00013735137389381713     
MWEBV         All|All|All                            All                   All      -0.049193014498867704     -2.265028165482974        0.0051599922402889575     -0.7215401407319827        
Redshift      All|All|All                            All                   All      2.529018790040675         -0.21120297996333193      -7.602560972764327        -1.2318477600236872        
