#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3442.312360509721    All      -0.9345404635876196       0.21845291354161134        -0.1614249224440208       0.36836422239557004       
Zeropoint     AB|SDSS|SDSS_r            4498.07319878983     All      0.6213859072252355        0.4637957783986124         0.20806471240852373       -0.042047317011939846     
Zeropoint     AB|SDSS|SDSS_z            6485.183528251057    All      0.11818898517416598       0.02314436582828705        0.14652588719567974       -0.02442038201956704      
Zeropoint     AB|SDSS|SDSS_i            5454.699936659707    All      1.1904583879769999        0.29296434226626644        -0.19084220062049695      -0.3008597482722285       
Check         All|All|All               All                  All      0.9954928167887819        0.9983574000347772         0.0023234765396857315     0.0010367750918346408     
Lambda        AB|SDSS|SDSS_g            3442.312360509721    All      -0.0012707495601215306    0.00025151869481196025     -0.0009745273387005181    0.0004523641724858371     
Lambda        AB|SDSS|SDSS_r            4498.07319878983     All      -0.000528190907421593     -0.00022052093356296384    -0.002848773762051536     -2.690945652847924e-05    
Lambda        AB|SDSS|SDSS_z            6485.183528251057    All      -3.006901509130266e-05    -6.256635666414156e-06     -4.478250704966712e-05    5.758037771688636e-06     
Lambda        AB|SDSS|SDSS_i            5454.699936659707    All      0.00012078780663024084    2.94272074282263e-05       -0.0002246946426665685    -3.978624275157473e-05    
MWEBV         All|All|All               All                  All      -0.6805784618200708       -2.6160351588339736        -0.0035427075838741725    -0.630600015619835        
Redshift      All|All|All               All                  All      4.946030643224254         0.7761392382167998         5.065359124365012         -1.1322271025959112       
