#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           4644.6690922138705    All      -0.7220277565752571        0.37880182938074825        -2.667125292202832        0.23955486023590142        
Zeropoint     AB|MEGACAMPSF|g           3637.6696412856018    All      -0.4033586097390156        0.36663406412209554        1.1611128872047738        0.3026270812404447         
Zeropoint     AB|MEGACAMPSF|z           6548.362166986367     All      0.7814529243802341         0.08388037074986698        1.2030118272736479        -0.1735374375550089        
Zeropoint     AB|MEGACAMPSF|i           5679.8035560421695    All      1.3403466313849557         0.17127396859972777        0.3227638924327758        -0.3664019574990025        
Check         All|All|All               All                   All      0.9964131894509168         1.0005902328524385         0.019763314708365343      0.0022425464223347347      
Lambda        AB|MEGACAMPSF|r           4644.6690922138705    All      -0.00033873071509507786    -0.0001299145231561657     -0.0018220127471354544    -1.3289757139623824e-05    
Lambda        AB|MEGACAMPSF|g           3637.6696412856018    All      -0.0008570042526542633     0.00034678149169734473     -0.0002498042372249063    0.0003809650045119856      
Lambda        AB|MEGACAMPSF|z           6548.362166986367     All      -0.0002565155613586902     -4.1726508692878565e-05    -0.0005426122033892005    4.574957029364533e-05      
Lambda        AB|MEGACAMPSF|i           5679.8035560421695    All      -0.0004633329946705571     -0.00012519483395263852    -0.0009783364710008813    6.648405999700252e-05      
MWEBV         All|All|All               All                   All      -0.419959236374972         -2.698295774666626         0.3216212524341122        -0.727776686224163         
Redshift      All|All|All               All                   All      4.202574892677646          0.9739412693939187         3.2217867330985195        -0.9078986452277622        
