#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           4644.6690922138705    All      -0.5887188252895003        0.5459362263902534         -1.1543298058241744        0.3180820417856162        
Zeropoint     AB|MEGACAMPSF|g           3637.6696412856018    All      -0.4695514907036382        0.2897199563779651         0.4363407124971694         0.2667915715614709        
Zeropoint     AB|MEGACAMPSF|z           6548.362166986367     All      0.8168491172818843         0.04006848050011058        0.8535599026186216         -0.21493255052867183      
Zeropoint     AB|MEGACAMPSF|i           5679.8035560421695    All      1.2345597846350325         0.1254506880286499         -0.12294031688084152       -0.3667595830680971       
Check         All|All|All               All                   All      0.9931385859237783         1.001175351296979          0.01263049241077506        0.0031814797503181835     
Lambda        AB|MEGACAMPSF|r           4644.6690922138705    All      -0.0002786230032291958     -0.0001355812766796081     -0.0017271692048306299     -3.048223274013311e-05    
Lambda        AB|MEGACAMPSF|g           3637.6696412856018    All      -0.0008387550994850482     0.0002953694281668548      -0.0006070454377960964     0.00034233202041493086    
Lambda        AB|MEGACAMPSF|z           6548.362166986367     All      -0.00014593129587749972    -1.7063540714518962e-05    -0.00023170811957488692    3.163639830007206e-05     
Lambda        AB|MEGACAMPSF|i           5679.8035560421695    All      -0.0003967928540169666     -0.00010281996218953532    -0.000550362704606601      7.119648250694689e-05     
MWEBV         All|All|All               All                   All      -0.43434777909670874       -2.714902283177878         0.16577844177254253        -0.735453699530401        
Redshift      All|All|All               All                   All      2.222385447528358          0.8608119477026221         0.6550297347172298         -0.4142783147131842       
