#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           5590.604088861161    All      0.7671335669452266         0.3284344959125107         -1.4449720579093361       -0.20738118663397231       
Zeropoint     AB|MEGACAMPSF|z           7874.211172471759    All      0.26723320195085704        -0.05587520252845479       0.1794706871177049        -0.09723808480266655       
Zeropoint     AB|MEGACAMPSF|i           6836.696026697271    All      0.9762227240307769         -0.1261715582812073        0.8642105028539553        -0.32052033987654477       
Zeropoint     AB|MEGACAMPSF|g           4382.159298563491    All      -1.010562236409713         0.851710615011747          0.412387590901067         0.6250064988191878         
Check         All|All|All               All                  All      1.0000272565171475         0.9980983501145957         0.011096722963391148      -0.00013311249399583502    
Lambda        AB|MEGACAMPSF|r           5590.604088861161    All      -8.449923639673116e-05     -0.00012150502004717705    -0.0013737140912602613    -7.335655184140121e-05     
Lambda        AB|MEGACAMPSF|z           7874.211172471759    All      8.33635770186161e-06       -1.6332364923019953e-07    4.135782824228614e-05     -9.230159224425428e-07     
Lambda        AB|MEGACAMPSF|i           6836.696026697271    All      -0.0005769545012280204     5.309303241018237e-05      -0.0008296507064311949    0.0001682037090739834      
Lambda        AB|MEGACAMPSF|g           4382.159298563491    All      -0.00039303944541671835    0.00012426268704584812     -0.0012272511217168945    0.00011373574227601041     
MWEBV         All|All|All               All                  All      -0.5906337116996201        -3.6051306365118663        0.04080972568160505       -0.980099671789533         
Redshift      All|All|All               All                  All      3.9339484321151246         0.856685760973086          2.167206146669099         -0.9056532342177108        
