#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           5590.604088861161    All      0.8183041535917245        0.33357519205967634        -1.2262734541646059       -0.21261512206925057       
Zeropoint     AB|MEGACAMPSF|z           7874.211172471759    All      0.2626135853395229        -0.05620257633438541       0.140388392646279         -0.0975840234141264        
Zeropoint     AB|MEGACAMPSF|i           6836.696026697271    All      0.9530624968299611        -0.12749422407676292       0.7725426753837528        -0.31749784181731266       
Zeropoint     AB|MEGACAMPSF|g           4382.159298563491    All      -1.0339740934695811       0.8483288663283517         0.3252158097444058        0.6276408878608849         
Check         All|All|All               All                  All      1.0000061422916273        0.9982072579768797         0.01187342360983168       -5.609943980477983e-05     
Lambda        AB|MEGACAMPSF|r           5590.604088861161    All      -9.351241835143246e-05    -0.00012866007049746798    -0.001228888626135176     -6.628840193047383e-05     
Lambda        AB|MEGACAMPSF|z           7874.211172471759    All      7.290589889275481e-06     8.198828727572734e-08      4.21957750416547e-05      -4.6507505579578453e-07    
Lambda        AB|MEGACAMPSF|i           6836.696026697271    All      -0.0005740662742949842    5.491477863065548e-05      -0.0007769264969227889    0.00017020916053655296     
Lambda        AB|MEGACAMPSF|g           4382.159298563491    All      -0.0003960062886648542    0.00010259589121478962     -0.0013912152488456844    0.00010032758657582574     
MWEBV         All|All|All               All                  All      -0.592645727283339        -3.6049781015703886        0.03271562885515111       -0.979755808838402         
Redshift      All|All|All               All                  All      4.002541156305031         0.9473421912387536         1.7238866841260525        -0.9182496707951168        
