#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_g          3648.451818563634     All      -0.6663677529286016        0.3638976449623854         -0.1456501274078644       0.32909163857853735       
Zeropoint     AB|DECam|DECam_r          4849.063507254666     All      0.20555822925281325        0.5075312620039796         0.6036620299276207        0.12530121526099364       
Zeropoint     AB|DECam|DECam_z          6903.393203590612     All      0.680082517338517          0.03514033656095705        0.6135402368181602        -0.1826994033659518       
Zeropoint     AB|DECam|DECam_i          5891.0065016497465    All      0.7752587777956438         0.09201494982598035        -1.0708968412765405       -0.2703442003988761       
Check         All|All|All               All                   All      0.9945317714583723         0.9985841933533024         0.0006552980613758752     0.001349250074703101      
Lambda        AB|DECam|DECam_g          3648.451818563634     All      -0.0011576370514336234     0.0005017142273920567      -0.00130160308400107      0.00048242073495685135    
Lambda        AB|DECam|DECam_r          4849.063507254666     All      -0.00016175895381156423    -7.936517008515841e-05     -0.0012206818497041913    -2.763505852868677e-05    
Lambda        AB|DECam|DECam_z          6903.393203590612     All      -0.000530531359336513      -3.4629693484969594e-05    -0.0006401080217265251    0.00013296640614821157    
Lambda        AB|DECam|DECam_i          5891.0065016497465    All      -0.00011793889795497681    -3.873873948243074e-06     0.0003851695436568273     5.4343078660494816e-05    
MWEBV         All|All|All               All                   All      -0.4778874875806798        -2.7639307825374715        0.10522833071763965       -0.7399436526542263       
Redshift      All|All|All               All                   All      6.6237391894855495         0.07512237323261672        7.12423451647505          -1.8151780741028833       
