#Format:      
#Parameter    MagSys|Instrument|Band                         RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thick    4348.591078549062    All      -0.9013273625860184       0.8472471628758527        0.9088451355368676         0.6101258335603981        
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thick    6301.369971724965    All      1.2079754201253654        -0.07043892527329731      0.2539959054470562         -0.4050869401799401       
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thick    5363.009323789271    All      0.12071541917601439       0.26708548730782766       -2.0978710833883194        -0.04594080465550049      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thick    8206.751466534968    All      0.5737504433553845        -0.04500103023206137      0.9582048830906533         -0.1587874282097806       
Check         All|All|All                                    All                  All      1.001113920070746         0.9988926946783216        0.023174840686257747       0.00031066051517686377    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thick    4348.591078549062    All      -0.0004086308159803998    6.321601156554537e-05     -0.0014933280247530602     8.705566389406383e-05     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thick    6301.369971724965    All      -0.0002764821797975772    -5.090386266195057e-06    -0.0002835295567317604     7.574861376518923e-05     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thick    5363.009323789271    All      -9.323783716927631e-05    -5.385292798940541e-05    -0.0023327319287143977     -9.127015148338816e-05    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thick    8206.751466534968    All      -5.362802495611244e-05    1.0174842410197514e-05    -2.6113569433606532e-05    1.961736428465989e-05     
MWEBV         All|All|All                                    All                  All      -0.7781377052957281       -4.0496113098103415       0.3059876698277093         -1.0519717569212435       
Redshift      All|All|All                                    All                  All      5.019037536567234         0.39627758871176866       9.328147669968564          -1.0895126114233784       
